time, aquisitionDuration, accX, accY, accZ, gyroX, gyroY, gyroZ
0.569,0.001145,7.779330,-18.823585,45.680226,1486.170000,1187.690000,-30.240000
0.571,0.001145,10.876700,-23.371501,43.856272,1415.820000,1218.280000,-60.830000
0.573,0.001144,13.916623,-26.990685,38.159409,1376.410000,1222.270000,-84.280000
0.575,0.001145,17.363465,-29.317303,31.318386,1282.050000,1221.080000,-96.250000
0.577,0.001144,21.025734,-31.323173,27.397603,1143.170000,1212.750000,-117.880000
0.579,0.001146,24.587470,-33.185425,23.673100,1052.870000,1185.450000,-149.590000
0.581,0.001144,28.249739,-34.521076,19.556039,922.530000,1175.300000,-181.650000
0.583,0.001145,31.653495,-35.263104,15.731002,813.190000,1140.790000,-223.370000
0.585,0.001146,34.669482,-35.445021,11.949051,690.830000,1092.140000,-253.050000
0.587,0.001145,36.953014,-35.109912,9.052746,532.770000,1040.270000,-276.010000
0.589,0.001144,38.906225,-34.185966,5.936227,420.770000,963.690000,-290.500000
0.591,0.001142,40.687093,-32.644462,2.594706,266.840000,897.470000,-288.120000
0.593,0.001145,42.185511,-30.882743,-0.038298,151.550000,823.270000,-272.930000
0.595,0.001284,43.358395,-29.044428,-2.125552,7.000000,715.330000,-256.410000
0.597,0.001310,44.521704,-26.406636,-2.800559,-97.370000,599.830000,-234.080000
0.599,0.001301,44.919048,-24.065657,-2.786197,-220.990000,513.380000,-221.060000
0.601,0.001153,45.019581,-21.360843,-2.431938,-305.760000,424.270000,-210.070000
0.603,0.001146,44.531279,-18.469326,-1.728208,-384.230000,320.320000,-201.810000
0.605,0.001144,43.205202,-15.573022,-0.057447,-476.070000,223.090000,-194.390000
0.607,0.001277,41.668485,-12.308097,1.871826,-538.300000,120.190000,-182.560000
0.609,0.001321,39.236547,-8.655402,4.490469,-605.780000,29.260000,-167.790000
0.611,0.001265,36.771098,-5.567607,6.721341,-643.790000,-47.740000,-145.950000
0.613,0.001156,34.037561,-2.427151,9.153279,-676.410000,-144.130000,-127.540000
0.615,0.001147,30.533272,0.804263,11.379365,-706.580000,-208.250000,-111.650000
0.617,0.001145,26.746533,3.614396,13.758643,-717.290000,-264.600000,-98.420000
0.619,0.001229,22.193830,6.300060,15.587384,-717.290000,-325.080000,-93.170000
0.621,0.001307,16.118772,9.359132,17.468785,-710.220000,-370.650000,-91.560000
0.623,0.001299,12.403842,11.977775,19.225716,-695.380000,-396.200000,-88.060000
0.625,0.001321,7.381986,14.706524,20.738497,-666.610000,-418.460000,-78.820000
0.627,0.001183,3.432480,17.057079,21.494887,-637.980000,-428.680000,-66.220000
0.629,0.001150,-0.631921,19.230504,23.385863,-597.450000,-431.060000,-46.130000
0.631,0.001288,-4.145784,21.351269,23.079477,-524.440000,-424.900000,-30.310000
0.633,0.001319,-7.243155,23.414586,21.906593,-481.810000,-406.560000,-17.920000
0.635,0.001298,-11.001169,25.176306,22.414045,-427.140000,-385.910000,-14.630000
0.637,0.001167,-12.073520,26.468871,22.361385,-373.520000,-356.790000,-19.250000
0.639,0.001149,-14.002794,27.502924,21.959253,-316.120000,-312.270000,-23.030000
0.641,0.001147,-15.912919,28.536976,21.064032,-242.060000,-275.450000,-28.000000
0.643,0.001144,-17.306017,29.173684,20.451260,-184.310000,-236.320000,-29.610000
0.645,0.001145,-18.574646,29.403474,19.934234,-102.060000,-182.000000,-26.880000
0.647,0.001144,-19.354973,29.168897,19.144333,-41.930000,-139.790000,-19.460000
0.649,0.001146,-19.656572,28.575274,18.718265,14.770000,-84.280000,-12.740000
0.651,0.001144,-19.196993,27.617818,18.440603,89.600000,-41.440000,-6.860000
0.653,0.001145,-18.301771,26.152911,17.875704,142.870000,17.360000,-0.490000
0.655,0.001141,-17.219846,24.654492,17.253357,204.540000,52.850000,-0.140000
0.657,0.001145,-15.381531,22.816176,16.501754,246.330000,90.160000,-1.540000
0.659,0.001146,-13.289489,21.001797,15.740577,286.160000,136.570000,-5.320000
